TransactionID,CustomerID,OrderDate,Category,Product,Quantity,UnitPrice,Discount,Amount,CustomerName,Gender,Age,AgeGroup,City,State,Region,JoinDate,Email
TXN003381,C00719,2022-01-01,Electronics,Smartwatch,2,36.53,0.0,73.07,Lisa Brown,Female,39,36-45,Nashville,TN,South,2022-03-31,customer719@email.com
TXN001399,C00270,2022-01-01,Electronics,Headphones,1,212.59,0.0,212.59,Linda Gonzalez,Female,66,65+,San Jose,CA,West,2022-09-15,customer270@email.com
TXN002025,C00400,2022-01-02,Clothing,Dress,3,188.43,0.05,537.01,David Martinez,Male,66,65+,Detroit,MI,Central,2021-01-11,customer400@email.com
TXN000239,C00043,2022-01-04,Home,Sofa,3,303.18,0.1,818.59,Robert Martin,Male,30,26-35,Chicago,IL,Central,2023-11-05,customer43@email.com
TXN002074,C00412,2022-01-05,Sports,Bicycle,1,67.2,0.05,63.84,John Lopez,Female,66,65+,Jacksonville,FL,South,2023-12-04,customer412@email.com
TXN001814,C00357,2022-01-06,Beauty,Haircare,2,102.36,0.0,204.72,Daniel Martinez,Female,47,46-55,Denver,CO,West,2023-09-15,customer357@email.com
TXN002290,C00466,2022-01-06,Sports,Dumbbells,1,55.14,0.0,55.14,Linda White,Male,30,26-35,Philadelphia,PA,East,2021-02-06,customer466@email.com
TXN002279,C00462,2022-01-08,Home,Cookware,3,42.32,0.2,101.57,Sandra Rodriguez,Male,42,36-45,Los Angeles,CA,West,2022-06-05,customer462@email.com
TXN000170,C00035,2022-01-08,Electronics,Headphones,1,138.57,0.0,138.57,Charles Williams,Male,24,18-25,Charlotte,NC,South,2023-10-15,customer35@email.com
TXN001970,C00389,2022-01-08,Electronics,Smartwatch,1,149.04,0.0,149.04,Mary Davis,Female,55,46-55,Dallas,TX,South,2021-02-11,customer389@email.com
TXN003265,C00687,2022-01-08,Clothing,Dress,3,230.4,0.0,691.21,Daniel Davis,Male,39,36-45,San Antonio,TX,South,2021-11-07,customer687@email.com
TXN002050,C00406,2022-01-09,Beauty,Makeup,1,417.7,0.0,417.7,Donna Thompson,Female,19,18-25,Philadelphia,PA,East,2022-04-27,customer406@email.com
TXN001890,C00375,2022-01-09,Sports,Dumbbells,1,160.86,0.0,160.86,Margaret Jones,Female,18,18-25,Charlotte,NC,South,2022-12-01,customer375@email.com
TXN003117,C00657,2022-01-10,Clothing,Dress,2,100.27,0.05,190.51,Michelle Ramirez,Female,63,56-65,Denver,CO,West,2022-04-04,customer657@email.com
TXN001668,C00326,2022-01-11,Electronics,Headphones,3,79.25,0.0,237.75,Sandra Perez,Male,30,26-35,Philadelphia,PA,East,2021-12-29,customer326@email.com
TXN001508,C00290,2022-01-11,Electronics,Laptop,1,97.12,0.15,82.55,Andrew Martinez,Male,67,65+,San Jose,CA,West,2021-09-16,customer290@email.com
TXN000338,C00058,2022-01-12,Home,Cookware,2,444.09,0.1,799.36,Sandra Jones,Male,73,65+,Boston,MA,East,2024-02-11,customer58@email.com
TXN001394,C00268,2022-01-12,Home,Sofa,1,51.08,0.0,51.08,Christopher Wilson,Female,64,56-65,San Diego,CA,West,2021-08-21,customer268@email.com
TXN001869,C00371,2022-01-13,Electronics,Tablet,2,436.07,0.0,872.14,Paul Smith,Male,72,65+,Austin,TX,South,2022-04-14,customer371@email.com
TXN000179,C00035,2022-01-13,Clothing,Dress,3,162.87,0.05,464.19,Charles Williams,Male,24,18-25,Charlotte,NC,South,2023-10-15,customer35@email.com
TXN001958,C00387,2022-01-14,Home,Bedding,2,412.08,0.0,824.16,Robert Harris,Female,54,46-55,San Antonio,TX,South,2024-02-07,customer387@email.com
TXN001979,C00391,2022-01-14,Electronics,Smartwatch,3,204.69,0.0,614.07,Mary Martin,Female,40,36-45,Austin,TX,South,2023-09-25,customer391@email.com
TXN001500,C00290,2022-01-14,Electronics,Headphones,2,248.16,0.0,496.32,Andrew Martinez,Male,67,65+,San Jose,CA,West,2021-09-16,customer290@email.com
TXN000381,C00068,2022-01-15,Clothing,T-Shirt,1,121.36,0.0,121.36,Patricia Ramirez,Male,37,36-45,San Diego,CA,West,2022-04-09,customer68@email.com
TXN001692,C00330,2022-01-16,Clothing,Jacket,2,77.38,0.0,154.77,Steven Wilson,Male,59,56-65,San Jose,CA,West,2023-06-07,customer330@email.com
TXN001807,C00354,2022-01-16,Sports,Running Shoes,2,137.66,0.0,275.31,Mary Ramirez,Female,36,36-45,Columbus,OH,Central,2021-10-13,customer354@email.com
TXN001640,C00318,2022-01-16,Beauty,Haircare,2,114.8,0.0,229.61,Michael Harris,Female,41,36-45,Boston,MA,East,2023-03-26,customer318@email.com
TXN003626,C00779,2022-01-17,Clothing,Sneakers,1,188.26,0.0,188.26,Donna Brown,Female,56,56-65,Nashville,TN,South,2021-01-23,customer779@email.com
TXN000217,C00040,2022-01-17,Electronics,Smartwatch,1,162.06,0.0,162.06,Lisa Lopez,Female,20,18-25,Detroit,MI,Central,2022-09-05,customer40@email.com
TXN003642,C00782,2022-01-18,Beauty,Makeup,1,120.21,0.0,120.21,John White,Female,20,18-25,Los Angeles,CA,West,2021-05-09,customer782@email.com
TXN000773,C00137,2022-01-18,Beauty,Haircare,2,155.57,0.15,264.48,Sandra Ramirez,Male,31,26-35,Denver,CO,West,2024-01-15,customer137@email.com
TXN003434,C00730,2022-01-18,Clothing,T-Shirt,3,38.73,0.0,116.18,Ashley Brown,Female,57,56-65,San Jose,CA,West,2022-09-16,customer730@email.com
TXN001442,C00280,2022-01-18,Beauty,Perfume,2,63.29,0.05,120.26,Linda White,Female,21,18-25,Detroit,MI,Central,2022-04-13,customer280@email.com
