CustomerID,CustomerName,Gender,Age,AgeGroup,City,State,Region,JoinDate,Recency,Frequency,Monetary,AvgOrderValue,FirstPurchase,LastPurchase,RecencyStatus,Cluster,Segment
C00001,Linda Smith,Female,32,26-35,New York,NY,East,2024-02-01,318,4,1333.76,333.44,2022-05-21,2024-08-15,At Risk (180+),1,Potential / Occasional
C00002,Sarah Davis,Female,38,36-45,Los Angeles,CA,West,2024-02-05,351,2,280.04,140.02,2022-11-01,2024-07-13,At Risk (180+),1,Potential / Occasional
C00003,Joseph Jones,Male,28,26-35,Chicago,IL,Central,2021-05-02,455,3,420.02,140.01,2022-09-08,2024-03-31,At Risk (180+),1,Potential / Occasional
C00004,Michael Perez,Male,57,56-65,Houston,TX,South,2021-03-29,53,4,1189.67,297.42,2022-12-02,2025-05-07,Warm (31-90),1,Potential / Occasional
C00005,Paul Williams,Male,19,18-25,Phoenix,AZ,West,2021-05-11,451,7,1919.64,274.23,2022-02-09,2024-04-04,At Risk (180+),3,Loyal Frequent
C00006,Donna Wilson,Female,55,46-55,Philadelphia,PA,East,2021-12-10,17,6,1281.04,213.51,2023-11-02,2025-06-12,Active (0-30),3,Loyal Frequent
C00007,John Smith,Male,38,36-45,San Antonio,TX,South,2022-01-21,15,19,8763.24,461.22,2022-02-23,2025-06-14,Active (0-30),0,High-Value Champions
C00008,Jennifer Miller,Male,39,36-45,San Diego,CA,West,2024-03-30,161,2,458.99,229.5,2023-11-19,2025-01-19,Cool (91-180),1,Potential / Occasional
C00009,Joseph Taylor,Male,66,65+,Dallas,TX,South,2021-09-10,17,7,1644.18,234.88,2023-05-14,2025-06-12,Active (0-30),3,Loyal Frequent
C00010,Joshua Smith,Female,59,56-65,San Jose,CA,West,2022-04-20,337,2,358.77,179.38,2023-01-18,2024-07-27,At Risk (180+),1,Potential / Occasional
C00011,Emily Miller,Male,64,56-65,Austin,TX,South,2022-12-01,61,14,7503.5,535.96,2022-10-15,2025-04-29,Warm (31-90),0,High-Value Champions
C00012,Paul Wilson,Male,72,65+,Jacksonville,FL,South,2023-08-16,400,1,94.08,94.08,2024-05-25,2024-05-25,At Risk (180+),1,Potential / Occasional
C00013,Joseph Anderson,Male,54,46-55,Fort Worth,TX,South,2023-04-12,29,11,6344.9,576.81,2022-12-06,2025-05-31,Active (0-30),0,High-Value Champions
C00014,Donna Rodriguez,Male,56,56-65,Columbus,OH,Central,2022-10-09,29,19,9815.56,516.61,2022-02-17,2025-05-31,Active (0-30),0,High-Value Champions
